Key Revenue %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,12.18,18.32,-9.28,10.26,8.39,10.97,3.37,4.2,-18.85,0.18,-20.0
3-Year Average,8.68,13.16,6.39,5.78,2.73,9.87,7.53,6.13,-4.39,-5.38,
5-Year Average,7.28,10.15,6.62,7.7,7.55,7.32,4.46,7.4,1.01,-0.57,
10-Year Average,-4.81,-3.35,-3.68,-2.28,5.69,7.3,7.27,7.01,4.3,3.41,
