Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,-17.35,-12.32,,,-40.01,13.31,0.19,15.34,10.2,16.92,
3-Year Average,2.76,5.53,,1.45,-10.61,,-12.02,9.4,8.39,14.12,
5-Year Average,3.37,-0.13,,6.96,-12.34,-6.63,-4.1,,-2.85,11.03,
10-Year Average,4.01,1.77,,1.12,-2.43,-1.76,-2.14,-1.16,1.94,-1.34,
