Key Revenue %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,10.27,5.69,-15.45,7.97,9.47,3.11,3.69,3.2,-4.28,1.87,3.23
3-Year Average,10.55,9.75,-0.49,-1.19,-0.02,6.81,5.38,3.33,0.8,0.21,
5-Year Average,9.2,9.61,3.84,3.83,3.09,1.72,1.33,5.45,2.94,1.47,
10-Year Average,9.1,9.22,2.68,2.92,4.44,5.39,5.39,4.64,3.39,2.28,
