Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,3.4,-43.57,,,18.33,57.39,-11.2,79.45,110.88,-57.63,
3-Year Average,14.22,-11.75,,-31.41,-12.22,,18.26,35.87,49.78,17.04,
5-Year Average,12.51,-4.09,,-17.04,-16.96,-9.69,-1.11,,44.31,17.51,
10-Year Average,17.83,7.41,,-3.55,-3.3,0.8,-2.61,3.62,9.41,-1.22,
