Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,41.52,33.29,57.97,47.78,32.59,-86.71,356.77,76.33,-24.05,24.19,96.75
3-Year Average,67.63,243.84,43.9,45.99,45.73,-36.14,-6.97,2.3,82.89,18.48,
5-Year Average,,93.56,58.23,148.57,42.32,-11.32,13.45,15.97,1.52,0.2,
10-Year Average,,,,,,,48.19,35.46,58.85,19.41,
