Key Margins % of Sales,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,10.57,9.81,8.73,8.49,9.25,9.89,12.37,12.07,11.52,12.92,12.66
Gross Margin,89.43,90.19,91.27,91.51,90.75,90.11,87.63,87.93,88.48,87.08,87.34
SG&A,24.47,25.9,25.74,27.34,27.21,28.92,25.93,23.01,19.63,20.99,19.54
R&D,29.17,26.16,29.31,31.67,24.16,24.2,20.83,19.51,18.7,17.24,18.58
Other,11.21,8.51,6.62,6.02,5.22,4.2,4.58,4.47,4.71,3.88,8.97
Operating Margin,24.59,29.62,29.59,26.48,34.16,32.79,36.29,40.94,45.44,44.99,40.25
Net Int Inc & Other,4.12,-1.41,0.85,-0.4,-0.27,0.83,-0.5,-0.27,-1.15,-1.9,-1.67
EBT Margin,28.71,28.21,30.44,26.08,33.89,33.63,35.78,40.67,44.29,43.09,38.58
