Key Profitability,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Tax Rate %,,,,,,,,,,,
Net Margin %,,,,,,,,-162.0,-428.54,,
Asset Turnover (Average),,,,,,,0.17,1.69,0.47,0.03,0.03
Return on Assets %,,,,,,,-320.26,-273.4,-205.29,-147.54,-147.54
Financial Leverage (Average),,,,,,,,,,1.98,2.67
Return on Equity %,,,,,,,,,,-508.66,-508.66
Return on Invested Capital %,,,,,,,,,,-151.79,-151.79
Interest Coverage,,,,,,,,-19.35,-6.06,-40.27,-40.27
