Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,,,,-47.96,-10.71,65.35,-61.58,-39.21,472.87,
3-Year Average,,,,,,,-8.41,-17.22,-27.18,10.19,
5-Year Average,,,,,,,,,-29.08,14.58,
10-Year Average,,,,,,,,,,,
