Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,18.29,-0.49,31.02,-8.92,19.01,15.33,10.3,23.08,-8.1,-15.12,1373.82
3-Year Average,28.24,12.21,15.54,5.89,12.4,7.72,14.82,16.12,7.65,-1.35,
5-Year Average,50.46,32.17,22.42,11.01,10.82,10.26,12.56,11.16,11.36,4.08,
10-Year Average,,,,,,28.8,21.97,16.65,11.18,7.4,
