Key EPS %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,37.5,29.09,25.35,30.34,22.41,22.54,17.24,22.55,10.4,8.7,-2.5
3-Year Average,33.72,31.11,30.55,28.24,25.99,25.04,20.7,20.75,16.62,13.72,
5-Year Average,,28.84,31.08,29.79,28.84,25.9,23.5,22.94,18.93,16.14,
10-Year Average,,,,,38.42,,26.14,26.95,24.24,22.32,
