Key EPS %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,23.85,,,-4.52,107.43,-41.37,72.78,-58.52,72.87,-2.24,26.67
3-Year Average,,,-10.75,-18.16,,5.11,28.09,-25.1,7.4,-11.17,
5-Year Average,,,,-7.71,7.09,-7.79,,-3.61,8.54,-6.62,
10-Year Average,,,13.42,16.55,,,17.31,,0.09,,
