Key Margins % of Sales,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,68.9,69.77,69.2,66.73,65.27,64.7,64.75,64.93,64.72,64.01,64.12
Gross Margin,31.1,30.23,30.8,33.27,34.73,35.3,35.25,35.07,35.28,35.99,35.88
SG&A,25.97,25.97,25.22,24.61,23.68,22.69,22.98,22.41,22.38,22.5,22.22
R&D,,,,,,,,,,,
Other,,,,0.49,,,,,,,
Operating Margin,5.12,4.27,5.57,8.17,11.05,12.61,12.27,12.66,12.9,13.49,13.66
Net Int Inc & Other,-0.5,-0.36,-0.18,-0.05,-0.03,-0.01,,0.03,0.03,0.02,0.02
EBT Margin,4.62,3.91,5.39,8.12,11.01,12.6,12.27,12.69,12.93,13.51,13.68
