Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,-81.99,160.76,-76.25,380.17,-67.14,,,214.41,11.29,-17.79,
3-Year Average,-50.26,-35.66,-51.86,43.81,-27.9,,-18.13,73.8,,42.22,
5-Year Average,,3.51,-40.24,-21.2,-29.35,,-8.95,52.63,13.93,36.87,
10-Year Average,-10.19,-4.03,-11.93,-11.79,,,-2.92,-4.49,-5.25,-1.67,
