Key Revenue %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,6.23,-4.14,-6.02,7.42,7.65,5.23,5.45,-1.65,9.57,8.52,24.52
3-Year Average,8.69,3.51,-1.46,-1.09,2.81,6.76,6.11,2.96,4.36,5.36,
5-Year Average,7.95,6.05,2.95,2.28,2.05,1.85,3.82,4.76,5.18,5.35,
10-Year Average,12.63,7.98,6.43,5.84,6.09,4.86,4.93,3.85,3.72,3.69,
