Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,4.08,,,,,931.68,-4.46,0.76,-4.32,9.28,-4.25
3-Year Average,20.15,,,,,,,114.95,-2.7,1.75,
5-Year Average,18.59,,,,-39.33,-4.02,,,,59.69,
10-Year Average,16.43,,,,-13.89,6.69,5.7,3.12,0.73,-1.57,
