Key Margins % of Sales,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,62.81,68.32,62.13,62.05,63.54,56.86,59.64,69.6,64.82,63.67,61.99
Gross Margin,37.19,31.68,37.87,37.95,36.46,43.14,40.36,30.4,35.18,36.33,38.01
SG&A,,,,,33.69,39.51,61.61,24.68,28.03,29.18,30.87
R&D,,,,,,,,,,,
Other,38.0,27.41,29.3,37.67,,,,,,,
Operating Margin,-0.66,5.0,7.95,0.75,2.76,3.63,-21.25,5.71,7.15,7.15,7.14
Net Int Inc & Other,-2.09,-1.27,-1.56,-0.28,-0.99,-1.34,-16.9,-1.11,-1.32,-1.11,-1.13
EBT Margin,-2.75,3.73,6.4,0.47,1.77,2.29,-38.15,4.61,5.83,6.04,6.0
