Key Profitability,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Tax Rate %,,,,,5.24,,2.62,,,,
Net Margin %,,-523.0,,-504.26,997.87,,140.43,,,,
Asset Turnover (Average),,0.05,,0.05,0.03,0.02,0.02,,,,
Return on Assets %,,-25.41,-19.07,-22.87,27.45,-33.71,2.78,-7.49,-22.4,-11.47,-11.47
Financial Leverage (Average),1.19,1.17,1.21,1.14,1.14,1.12,1.16,1.11,1.1,1.06,1.06
Return on Equity %,,-29.78,-22.69,-26.86,31.28,-38.17,3.17,-8.48,-24.64,-12.35,-12.35
Return on Invested Capital %,,-32.77,-22.97,-27.57,30.24,-38.7,2.96,-8.68,-24.94,-12.68,-12.68
Interest Coverage,,,,,,,,,,,
