Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,,,13.59,-42.34,-59.91,202.4,56.57,-54.07,199.71,-46.34,
Free Cash Flow Growth % YOY,,,4.68,-47.6,-72.86,315.85,57.03,-67.78,373.83,,
Cap Ex as a % of Sales,2.24,,1.76,1.93,2.12,2.63,4.56,4.53,4.11,34.27,1.32
Free Cash Flow/Sales %,-2.49,16.95,20.66,9.97,2.77,9.31,16.37,5.5,26.87,-17.08,10.77
Free Cash Flow/Net Income,-0.27,1.69,1.51,0.8,0.27,0.63,0.92,0.43,1.87,-0.99,0.76
