Key Revenue %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,24.64,42.33,-12.22,18.48,17.62,28.04,10.18,20.37,-3.55,1.04,27.77
3-Year Average,17.76,26.7,15.9,13.96,6.95,21.29,18.39,19.3,8.55,5.46,
5-Year Average,8.69,18.14,15.33,16.16,16.76,17.39,11.53,18.8,14.01,10.6,
10-Year Average,42.64,28.45,13.62,8.17,8.66,12.96,14.78,17.05,15.08,13.64,
