Key EPS %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,32.91,-26.67,19.48,45.65,38.06,30.81,23.97,26.67,10.53,-14.29,-58.62
3-Year Average,39.12,28.84,5.21,8.47,33.93,38.04,30.82,27.12,20.17,6.27,
5-Year Average,67.35,38.7,18.73,30.07,18.55,18.17,31.26,32.8,25.67,14.24,
10-Year Average,,,,,31.46,40.63,34.93,25.57,27.85,16.38,
