Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,-974.0,,,796.0,445.0,,,,,,
Free Cash Flow Growth % YOY,,,,920.0,407.0,,,,,,
Cap Ex as a % of Sales,42.04,5.72,3.89,3.95,4.39,4.64,2.9,5.11,5.11,3.86,4.51
Free Cash Flow/Sales %,216.52,110.98,39.95,46.55,49.42,-13.87,66.53,36.03,55.62,79.86,64.21
Free Cash Flow/Net Income,-0.46,-4.18,-0.68,-33.97,6.42,2.11,12.45,2.1,2.84,2.81,2.35
