Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,482.03,35.54,4.23,31.57,17.99,12.62,20.56,3.82,-0.85,5.19,
3-Year Average,33.58,36.51,101.83,22.95,17.4,20.47,17.01,12.13,7.46,2.69,
5-Year Average,34.16,39.27,27.48,28.39,66.41,19.82,17.05,16.95,10.52,8.01,
10-Year Average,27.25,25.74,22.94,25.1,29.43,26.79,27.68,22.11,19.12,34.07,
