Key Revenue %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,61.71,36.58,-14.08,24.75,38.35,-8.37,-14.93,24.44,-21.81,25.33,
3-Year Average,24.88,39.52,23.8,13.55,14.03,16.51,2.55,-1.01,-6.11,6.83,
5-Year Average,32.65,27.11,17.97,23.82,26.78,13.16,2.94,10.86,0.97,-1.01,
10-Year Average,17.82,27.87,22.55,26.7,31.31,22.52,14.39,14.36,11.81,12.03,
