Key Financials AUD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue AUD Mil,96.0,83.0,82.0,100.0,113.0,112.0,92.0,45.0,40.0,44.0,44.0
Gross Margin %,-22.5,-27.5,-17.5,38.5,41.4,-21.4,-24.9,-18.9,-32.8,33.9,33.9
Operating Income AUD Mil,11.0,-5.0,-1.0,10.0,7.0,11.0,4.0,7.0,4.0,3.0,3.0
Operating Margin %,11.5,-6.2,-1.1,9.9,6.0,10.2,4.8,14.8,10.0,8.0,8.0
Net Income AUD Mil,-23.0,-1.0,-0.0,13.0,5.0,10.0,4.0,5.0,3.0,3.0,3.0
Earnings Per Share AUD,-0.74,-0.04,-0.01,0.39,0.16,0.29,0.1,0.15,0.1,0.08,0.08
Dividends AUD,,,,,,,0.13,0.09,0.13,0.09,0.09
Payout Ratio % *,,,,,,,53.1,99.9,91.0,91.6,103.7
Shares Mil,34.0,34.0,34.0,34.0,34.0,34.0,35.0,35.0,35.0,33.0,33.0
Book Value Per Share * AUD,1.62,1.58,1.57,1.96,1.94,1.52,1.65,1.69,1.42,1.62,1.48
Operating Cash Flow AUD Mil,16.0,9.0,11.0,8.0,10.0,11.0,6.0,10.0,6.0,-10.0,-10.0
Cap Spending AUD Mil,-2.0,-3.0,-2.0,-2.0,-2.0,-3.0,-3.0,-2.0,-0.0,-0.0,-0.0
Free Cash Flow AUD Mil,14.0,6.0,8.0,5.0,7.0,8.0,3.0,8.0,6.0,-10.0,-10.0
Free Cash Flow Per Share * AUD,0.42,0.17,0.25,0.16,0.19,0.21,0.18,0.16,0.23,0.15,
Working Capital AUD Mil,45.0,25.0,32.0,43.0,30.0,41.0,40.0,51.0,41.0,35.0,
