Key Revenue %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,,,,,,,28.57,8.58,-34.11,11.86,
3-Year Average,,-80.27,,,,,,,-2.75,-7.16,
5-Year Average,,,,,,,143.83,,,,
10-Year Average,,,,,,,,-8.81,-7.2,,
