Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,72.94,10.3,17.12,-0.49,-28.14,78.3,6.49,-30.68,9.89,15.68,-60.34
3-Year Average,,,30.73,8.73,-5.74,8.43,10.91,9.59,-6.74,-4.13,
5-Year Average,,,,,9.82,10.49,9.72,-1.21,0.77,10.84,
10-Year Average,,,,,,,,,,10.33,
