Key Margins % of Sales,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,40.25,42.82,41.79,41.21,40.9,45.67,45.34,50.29,51.21,60.16,64.92
Gross Margin,59.75,57.18,58.21,58.79,59.1,54.33,54.66,49.71,48.79,39.84,35.08
SG&A,31.87,35.22,42.83,56.58,56.1,65.54,58.44,65.01,69.33,65.13,62.78
R&D,,,,,,,,,,,
Other,4.54,5.83,0.06,0.05,0.07,17.5,0.05,0.17,0.04,7.42,7.97
Operating Margin,23.34,20.06,17.07,2.49,2.92,58.24,-3.38,-15.24,-19.8,-32.59,-35.57
Net Int Inc & Other,1.38,1.64,1.58,1.69,1.25,26.64,0.03,0.61,0.35,0.17,0.29
EBT Margin,24.73,21.7,18.66,4.18,4.17,84.89,-3.36,-14.62,-19.45,-32.42,-35.28
