Key EPS %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,,,35.36,1.63,78.31,-23.42,12.65,21.67,11.16,-15.18
3-Year Average,,,,,161.03,34.87,11.54,15.43,1.63,15.07,
5-Year Average,,,,,,,89.26,16.17,13.72,15.78,
10-Year Average,,,,,,,,,,,
