Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,,,,,221.74,13.93,-32.69,-1.13,22.13,112.32,
Free Cash Flow Growth % YOY,,,,,495.53,14.67,-42.74,-0.07,22.49,119.41,
Cap Ex as a % of Sales,,,,2.52,2.16,2.41,3.06,4.9,3.53,4.71,5.22
Free Cash Flow/Sales %,,,,2.14,12.18,14.2,8.16,13.6,9.92,15.07,10.95
Free Cash Flow/Net Income,,,,0.11,1.27,1.58,0.55,2.26,2.87,1.1,0.73
