Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,50.09,-15.95,33.92,29.99,-28.69,94.48,-9.98,21.57,-18.86,14.7,
Free Cash Flow Growth % YOY,62.26,-40.03,65.32,58.81,-35.64,142.23,-14.51,21.79,-27.82,11.17,
Cap Ex as a % of Sales,5.72,7.06,7.28,5.39,4.34,4.24,4.66,5.49,5.4,5.64,7.88
Free Cash Flow/Sales %,11.54,6.44,10.42,13.8,8.03,17.89,15.4,18.32,11.69,11.12,10.68
Free Cash Flow/Net Income,0.23,1.29,2.14,2.0,1.36,3.53,1.42,1.8,1.35,1.03,0.88
