Key Revenue %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,28.52,11.33,2.18,4.91,27.25,20.77,14.04,11.56,-52.01,4.5,8.66
3-Year Average,32.86,23.34,13.49,6.07,10.91,17.26,20.57,15.39,-15.16,-17.6,
5-Year Average,44.59,31.59,21.68,15.0,14.31,12.9,13.44,15.45,-1.26,-5.08,
10-Year Average,105.54,68.1,44.19,35.73,31.58,27.76,22.18,18.53,6.56,4.17,
