Key Revenue %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,13.36,-17.71,28.99,10.95,4.45,-7.91,2.26,15.64,22.08,25.76
3-Year Average,,22.11,4.58,6.36,5.61,14.34,2.19,-0.55,2.88,13.02,
5-Year Average,,22.56,12.07,14.08,10.36,6.88,2.52,7.08,4.76,6.79,
10-Year Average,,14.87,11.24,11.61,13.11,14.22,12.09,9.54,9.32,8.56,
