Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,43.75,10.28,-16.49,-54.51,-83.96,,,,,,
Free Cash Flow Growth % YOY,45.38,7.51,-14.52,-95.6,,,,,,,
Cap Ex as a % of Sales,1.24,1.13,0.83,1.07,1.01,0.85,1.6,1.78,1.19,0.75,1.32
Free Cash Flow/Sales %,2.68,2.25,1.78,0.08,-0.83,-3.6,-3.94,-6.9,-3.05,-2.72,-1.86
Free Cash Flow/Net Income,1.15,0.95,0.75,0.05,-0.42,-8.91,8.43,8.35,1.03,-7.83,-2.42
