Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,-32.28,-30.41,,,-0.08,-2.82,-13.66,21.6,23.02,12.32,
3-Year Average,12.29,-3.34,,7.29,21.03,,-5.71,0.67,8.9,18.88,
5-Year Average,17.72,4.17,,9.89,-3.53,3.7,8.27,,4.63,7.11,
10-Year Average,6.33,1.76,,5.83,6.48,10.49,6.2,5.95,7.23,1.65,
