Key Net Income %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,,,,,,,,660.69,151.37,128.39,
3-Year Average,,,,,,,-52.07,,,252.15,
5-Year Average,,,,41.79,,,,,16.05,,
10-Year Average,,,,,,,3.59,16.63,28.28,23.1,
