Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,20.32,-6.5,-27.46,-15.32,131.97,23.39,-5.26,8.3,3.34,8.04,
3-Year Average,-9.26,0.58,-6.55,-16.87,12.53,34.33,39.45,8.18,1.97,6.53,
5-Year Average,21.91,16.94,-12.71,-8.97,9.9,10.46,10.75,19.99,24.86,7.17,
10-Year Average,4.91,4.28,-1.01,-2.32,10.12,16.04,13.8,2.34,6.61,8.52,
