Key Net Income %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,8.04,17.0,44.96,25.31,18.45,19.72,6.42,10.44,10.37,9.5,
3-Year Average,15.39,15.23,22.37,28.57,29.1,21.12,14.71,12.06,9.06,10.11,
5-Year Average,5.35,6.01,21.11,22.68,22.15,24.69,22.35,15.87,12.97,11.21,
10-Year Average,8.31,8.6,11.42,13.84,15.54,14.61,13.89,18.46,17.72,16.55,
