Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,,,,13.56,4865.96,-11.8,-18.18,28.4,11.54,7.11,
Free Cash Flow Growth % YOY,,,,3.95,4588.03,-12.07,-30.28,50.0,16.84,7.49,
Cap Ex as a % of Sales,,,2.18,0.07,3.31,2.95,3.28,3.04,3.2,3.29,3.38
Free Cash Flow/Sales %,,,10.81,0.22,8.49,7.49,5.16,7.58,9.5,9.89,9.92
Free Cash Flow/Net Income,,,1.17,0.02,1.16,0.96,0.87,0.88,1.02,1.43,1.45
