Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,-24.1,36.58,-9.05,-30.95,76.71,-15.74,4.17,-4.96,-14.04,9.57,
Free Cash Flow Growth % YOY,-26.19,44.14,-6.98,-35.37,86.9,-15.36,3.64,-6.14,-14.93,6.81,
Cap Ex as a % of Sales,3.88,3.52,2.41,2.32,2.72,2.43,2.84,3.19,3.06,3.78,4.22
Free Cash Flow/Sales %,23.7,34.24,30.76,15.26,30.44,28.77,31.6,30.84,26.64,26.32,25.28
Free Cash Flow/Net Income,1.41,2.04,1.78,1.2,1.86,1.08,0.74,1.67,1.87,1.93,1.35
