Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,16.06,9.33,-3.39,-3.12,-7.97,28.5,-0.32,3.09,-22.19,71.14,
3-Year Average,0.85,84.21,7.03,0.77,-4.85,4.64,5.63,9.71,-7.19,11.14,
5-Year Average,11.91,10.26,1.61,42.38,1.79,3.89,1.99,3.32,-1.12,11.95,
10-Year Average,13.28,23.35,11.8,10.15,7.24,7.82,6.04,2.46,18.65,6.75,
