Key Revenue %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,6.04,4.16,10.74,-1.15,4.04,4.48,4.06,5.42,3.57,-4.29,2.52
3-Year Average,9.45,9.03,6.94,4.47,4.43,2.43,4.2,4.65,4.35,1.48,
5-Year Average,6.69,7.52,8.63,7.25,4.7,4.39,4.37,3.34,4.31,2.59,
10-Year Average,11.96,11.92,12.51,5.12,5.14,5.53,5.93,5.95,5.77,3.64,
