Key Margins % of Sales,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,79.74,63.68,61.49,67.62,50.43,56.52,71.16,62.13,62.55,63.18,63.18
Gross Margin,20.26,36.32,38.51,32.38,49.57,43.48,28.84,37.87,37.45,36.82,36.82
SG&A,13.63,11.64,12.86,1.44,9.76,13.53,1.35,16.88,1.08,2.24,2.24
R&D,,,,,,,,,,,
Other,23.26,9.66,22.9,24.06,16.48,9.04,22.7,143.69,14.3,7.28,7.28
Operating Margin,-16.62,15.02,2.74,6.88,23.33,20.91,4.79,-122.7,22.07,27.31,27.31
Net Int Inc & Other,1.51,-6.16,-12.88,5.99,-1.75,-0.14,0.99,0.23,8.25,3.39,3.39
EBT Margin,-15.11,8.86,-10.14,12.86,21.58,20.77,5.77,-122.47,30.32,30.69,30.69
