Key Revenue %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,,,,-19.94,353.72,-6.0,,,,222.67,
3-Year Average,,,-3.34,,,50.58,,,448.86,,
5-Year Average,,,,,26.82,,,,271.24,246.78,
10-Year Average,,,-52.75,-55.41,-46.93,-38.06,,,,109.71,
