Key EPS %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,28.7,,,,,,,93.75,32.26,38.41,213.46
3-Year Average,28.65,,,-72.73,,,120.13,,,52.5,
5-Year Average,16.66,,,-53.8,,,,,93.79,,
10-Year Average,7.93,,,-26.75,,,-7.98,-1.14,-5.38,-0.13,
