Key Revenue %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,24.3,2.36,-15.06,11.03,-5.74,24.44,-5.6,-8.65,-2.93,-3.32,-17.7
3-Year Average,,,2.62,-1.17,-3.85,9.2,3.45,2.38,-5.76,-5.01,
5-Year Average,,,,,2.49,2.51,0.87,2.35,-0.37,0.14,
10-Year Average,,,,,,,,,,1.31,
