Key Profitability,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Tax Rate %,,,,,,,,,,,
Net Margin %,,,,,,,,46.39,120.89,86.24,86.24
Asset Turnover (Average),,,,,,,,0.07,0.1,0.08,0.08
Return on Assets %,,,,,,,,3.47,12.01,7.22,7.22
Financial Leverage (Average),,,,,,,1.36,2.65,2.95,1.5,1.5
Return on Equity %,,,,,,,,6.85,33.72,13.43,13.43
Return on Invested Capital %,,,,,,,,5.95,20.03,9.76,9.76
Interest Coverage,,,,,,,,3.27,11.12,7.43,7.43
