Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,-46.81,-19.67,249.41,-12.61,-98.35,4211.76,18.25,76.72,-2.42,
3-Year Average,,-29.82,-42.6,13.18,32.95,-63.03,-14.57,-5.51,348.31,26.81,
5-Year Average,,-14.73,-21.07,-0.96,-11.08,-53.1,11.22,20.83,5.43,7.78,
10-Year Average,,-6.31,-11.82,-1.46,1.54,-31.26,-2.5,-2.52,2.16,-2.18,
