Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,-9.43,,,2.17,72.24,21.51,16.5,-19.34,15.6,-8.64,
3-Year Average,-10.97,,-14.71,-11.22,,28.83,34.59,4.52,2.8,-5.2,
5-Year Average,-8.03,,-13.54,-13.42,1.77,7.93,,14.98,17.85,3.81,
10-Year Average,10.37,,0.99,-1.35,1.72,-0.37,0.45,-0.29,1.01,2.79,
