Key Margins % of Sales,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,75.7,68.82,67.82,70.25,52.51,49.0,53.97,62.51,64.09,77.2,90.23
Gross Margin,24.3,31.18,32.18,29.75,47.49,51.0,46.03,37.49,35.91,22.8,9.77
SG&A,2.48,1.73,2.41,2.68,2.13,2.49,3.03,3.2,5.27,9.58,4.44
R&D,,,,,,,,,,,
Other,,0.11,3.71,4.48,-0.41,0.03,-1.05,-15.6,2.95,9.58,4.69
Operating Margin,21.82,29.33,26.06,22.59,45.76,48.48,44.05,49.88,27.69,3.64,0.64
Net Int Inc & Other,-1.1,0.64,0.61,-5.25,-2.38,-2.13,-3.69,-3.77,-3.13,-9.77,-12.01
EBT Margin,20.72,29.98,26.67,17.34,43.39,46.35,40.36,46.11,24.56,-6.13,-11.36
