Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,-8.53,,,762.25,-50.6,76.18,-36.12,-22.7,-5.95,-38.54,
3-Year Average,15.33,,-58.18,-11.65,,95.79,-17.77,-4.54,-22.56,-23.55,
5-Year Average,10.52,,-34.27,-8.42,-20.8,-9.71,,29.95,-16.57,-12.85,
10-Year Average,9.8,,-18.46,-1.6,-9.65,-0.1,-5.88,-7.58,-12.59,-16.92,
