Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,16.07,-45.84,-7.4,-41.93,78.96,130.04,-45.8,58.79,56.23,-38.81,
Free Cash Flow Growth % YOY,-18.21,-88.52,242.42,-61.06,344.32,170.08,-72.63,134.95,62.15,-62.76,
Cap Ex as a % of Sales,3.41,2.29,2.59,1.44,1.1,1.77,1.52,1.69,3.59,3.64,3.79
Free Cash Flow/Sales %,2.62,0.23,1.34,0.43,1.44,3.54,0.77,1.67,3.83,1.67,0.42
Free Cash Flow/Net Income,1.02,0.24,-1.61,-3.03,0.72,1.42,0.7,0.81,0.71,0.56,0.18
