Key Operating Income %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,10.39,-54.43,216.02,19.1,-23.13,-8.61,-0.08,10.41,23.74,2.63,25.56
3-Year Average,6.6,-19.78,16.71,19.7,42.49,-5.77,-11.13,0.27,10.93,11.93,
5-Year Average,10.83,-16.44,11.77,14.2,7.8,3.8,21.45,-1.59,-0.83,5.07,
10-Year Average,14.76,1.6,1.61,10.15,21.43,7.26,0.74,4.88,6.42,6.42,
