Key Margins % of Sales,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,76.57,76.88,76.84,77.76,79.08,79.41,79.43,78.84,77.84,77.6,77.96
Gross Margin,23.43,23.12,23.16,22.24,20.92,20.59,20.57,21.16,22.16,22.4,22.04
SG&A,18.22,18.0,18.31,17.61,17.68,16.02,16.07,16.47,17.0,17.39,17.56
R&D,,,,,,,,,,,
Other,1.93,1.89,3.44,1.97,1.81,1.71,1.73,1.8,1.9,2.03,2.05
Operating Margin,3.28,3.22,1.42,2.66,1.42,2.86,2.77,2.89,3.26,2.98,2.43
Net Int Inc & Other,-0.67,-0.64,-0.65,-0.55,-0.48,-0.48,-0.45,-0.45,-0.44,-0.45,-0.48
EBT Margin,2.6,2.58,0.77,2.11,0.93,2.38,2.32,2.44,2.82,2.53,1.95
