Key Revenue %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,1.75,8.37,0.32,-2.88,-8.42,2.69,30.27,-0.96,0.78,0.36
3-Year Average,,,,3.42,1.83,-3.73,-2.98,7.0,9.83,9.15,
5-Year Average,10.61,8.47,,,,-0.33,-0.14,3.6,3.34,4.1,
10-Year Average,,,,,6.05,5.0,4.07,,,,
