Key Profitability,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Tax Rate %,,,,37.04,38.06,33.06,33.62,25.82,36.13,27.49,28.13
Net Margin %,,,,19.86,9.86,8.95,14.9,5.73,-1.45,13.03,15.03
Asset Turnover (Average),,,,,0.87,0.82,0.78,0.79,0.25,0.22,0.22
Return on Assets %,,,,,8.54,7.32,11.68,4.53,-0.36,2.84,3.27
Financial Leverage (Average),,,,,1.3,6.53,4.46,5.25,2.13,2.1,2.04
Return on Equity %,,,,,11.08,16.28,61.99,21.84,-0.86,6.0,6.77
Return on Invested Capital %,,,,,11.08,12.46,22.26,6.74,2.2,5.23,5.73
Interest Coverage,,,,,743.25,11.31,9.54,,1.77,5.43,5.43
