Key Profitability,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Tax Rate %,,,,,,,,,31.52,31.9,31.9
Net Margin %,,,,,,,,,8.35,8.03,8.03
Asset Turnover (Average),,,,,,,,,0.81,1.32,1.32
Return on Assets %,,,,,,,,,6.78,10.62,10.62
Financial Leverage (Average),,,,,,,,,3.11,2.53,
Return on Equity %,,,,,,,,,21.1,29.62,29.62
Return on Invested Capital %,,,,,,,,,9.99,15.23,15.23
Interest Coverage,,,,,,,,,11.98,18.32,18.32
