Key Profitability,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Tax Rate %,,34.73,28.48,26.56,28.43,24.28,,26.49,23.05,24.18,23.19
Net Margin %,-9.32,-38.96,23.83,122.1,18.51,36.63,56.41,35.17,35.42,38.58,39.79
Asset Turnover (Average),0.37,0.29,0.41,0.28,0.35,0.45,0.41,0.42,0.47,0.49,0.44
Return on Assets %,-3.49,-11.36,9.74,33.82,6.65,16.33,23.05,14.75,16.63,18.78,17.67
Financial Leverage (Average),2.63,50.66,4.49,3.61,,,,,,,
Return on Equity %,-7.15,-47.47,81.78,135.54,48.58,,,,,,
Return on Invested Capital %,-5.16,-17.47,22.68,79.02,26.32,,,,,,
Interest Coverage,,,6.94,1.6,2.31,9.22,7.11,6.62,5.53,6.56,6.3
