Key Financials AUD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue AUD Mil,,,,,,,,,,,
Gross Margin %,,,,,,,,,,,
Operating Income AUD Mil,-1.0,-1.0,-1.0,-1.0,-6.0,-3.0,-1.0,-3.0,-1.0,-1.0,-1.0
Operating Margin %,,,,,,,,,,,
Net Income AUD Mil,-1.0,-1.0,-1.0,-1.0,-6.0,-6.0,-1.0,-2.0,-1.0,-1.0,-1.0
Earnings Per Share AUD,-0.39,-0.48,-0.35,-0.16,-0.91,-0.75,-0.14,-0.08,-0.02,-0.02,-0.02
Dividends AUD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,5.0,6.0,10.0,16.0,26.0,31.0,41.0,115.0,151.0,205.0,205.0
Book Value Per Share * AUD,2.18,1.76,1.06,0.83,0.46,0.49,0.03,0.08,0.07,0.05,0.05
Operating Cash Flow AUD Mil,-0.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-1.0,-1.0
Cap Spending AUD Mil,-1.0,-0.0,-0.0,-1.0,-8.0,-0.0,-3.0,-5.0,-2.0,-3.0,-3.0
Free Cash Flow AUD Mil,-1.0,-1.0,-1.0,-2.0,-10.0,-1.0,-4.0,-6.0,-2.0,-4.0,-4.0
Free Cash Flow Per Share * AUD,-0.21,-0.16,-0.08,-0.11,-0.11,-0.37,-0.04,-0.1,-0.05,-0.01,
Working Capital AUD Mil,0.0,-0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,
