Key Margins % of Sales,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,36.17,39.62,40.22,22.5,29.72,31.85,30.42,30.41,30.26,30.43,29.93
Gross Margin,63.83,60.38,59.78,77.5,70.28,68.15,69.58,69.59,69.74,69.57,70.07
SG&A,25.68,22.23,21.43,39.02,37.41,36.22,36.43,36.26,36.62,36.72,36.81
R&D,,,,,,,,,,,
Other,20.09,18.59,18.18,17.44,13.67,12.46,12.17,11.66,11.65,11.89,11.57
Operating Margin,18.05,19.56,20.18,21.03,19.2,19.46,20.98,21.67,21.47,20.97,21.69
Net Int Inc & Other,-3.98,-7.77,-5.9,-4.95,-4.5,-0.91,-3.79,-3.55,-3.52,-3.12,-3.0
EBT Margin,14.08,11.79,14.28,16.09,14.7,18.55,17.19,18.12,17.95,17.85,18.7
