Key Efficiency Ratios,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Days Sales Outstanding,,,,,,,,,,24.44,16.69
Days Inventory,,,,,,,,,,100.41,62.06
Payables Period,,,,,,,,,,42.63,26.35
Cash Conversion Cycle,,,,,,,,,,82.22,52.4
Receivables Turnover,,,,,,,,,,14.93,21.87
Inventory Turnover,,,,,,,,,,3.63,5.88
Fixed Assets Turnover,,,,,,,,,,0.73,1.07
Asset Turnover,,,,,,,,,,0.5,0.73
