Key Margins % of Sales,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,72.69,74.26,73.35,73.82,74.76,73.94,73.33,73.92,72.42,72.07,72.44
Gross Margin,27.31,25.74,26.65,26.18,25.24,26.06,26.67,26.08,27.58,27.93,27.56
SG&A,18.75,19.44,21.31,20.39,19.49,19.59,19.12,18.31,18.57,18.03,17.37
R&D,,,,,,,,,,,
Other,,,13.98,,,,,,,,
Operating Margin,8.56,6.3,-8.64,5.79,5.75,6.47,7.55,7.78,9.01,9.89,10.19
Net Int Inc & Other,-2.61,-2.27,-4.65,-1.66,-2.1,-2.42,-1.59,-2.08,-2.16,-2.06,-1.5
EBT Margin,5.95,4.03,-13.29,4.13,3.65,4.05,5.96,5.7,6.85,7.84,8.69
