Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,-2.13,10.1,-5.58,13.4,4.79,-8.82,-11.31,-4.16,-7.96,-16.14,1.7
3-Year Average,5.37,4.1,0.58,5.64,3.91,2.71,-5.37,-8.14,-7.86,-9.56,
5-Year Average,,7.95,3.99,3.85,3.87,2.41,-1.93,-1.63,-5.65,-9.77,
10-Year Average,23.71,16.03,13.04,8.26,6.2,,2.89,1.14,-1.02,-3.19,
