Key Profitability,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Tax Rate %,,,,,,26.72,22.61,27.67,,,
Net Margin %,,,,,,8.96,2.23,16.74,-31.05,-55.62,-99.21
Asset Turnover (Average),,,,,,3.81,5.38,4.29,0.99,0.52,0.46
Return on Assets %,,,,,,34.09,12.01,71.86,-30.61,-28.99,-45.45
Financial Leverage (Average),,,,,,4.42,13.99,3.47,1.16,1.15,1.19
Return on Equity %,,,,,,150.83,94.68,270.03,-40.59,-33.46,-52.8
Return on Invested Capital %,,,,,,172.82,138.32,264.24,-43.12,-33.3,-53.14
Interest Coverage,,,,,,7.86,3.17,,-153.35,-60.92,-163.19
