Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,-0.46,-16.01,5.1,79.49,30.01,-6.28,-2.57,-20.59,15.8,85.43,-11.13
3-Year Average,8.38,-5.97,-4.22,16.58,34.86,29.8,5.88,-10.16,-3.6,19.47,
5-Year Average,14.28,1.95,2.36,9.42,15.44,14.06,17.5,11.09,1.77,9.26,
10-Year Average,13.98,5.06,0.28,10.21,12.08,14.17,9.45,6.64,5.52,12.31,
